Year,Geo_Level,State,State_ANSI,Ag_District,Ag_District_Code,County,County_ANSI,Value
2017,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,137
2017,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11, (D)
2017,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,209
2017,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,151
2017,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,31
2017,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,5
2017,COUNTY,ALABAMA,1,BLACK BELT,40,LOWNDES,85,196
2017,COUNTY,ALABAMA,1,BLACK BELT,40,MACON,87,104
2017,COUNTY,ALABAMA,1,BLACK BELT,40,MARENGO,91,127
2017,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,50
2017,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,49
2017,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,46
2017,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,376
2017,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,85
2017,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23, (D)
2017,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25, (D)
2017,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,65
2017,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,131
2017,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,318
2017,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,327
2017,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,28
2017,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131, (D)
2017,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,132
2017,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,391
2017,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,139
2017,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29, (D)
2017,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,90
2017,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,74
2017,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,368
2017,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,488
2017,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,140
2017,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,94
2017,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,31
2017,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,40
2017,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,82
2017,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,158
2017,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,668
2017,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,847
2017,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,22
2017,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,178
2017,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,WINSTON,133,114
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,47
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHAMBERS,17,37
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,46
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CLAY,27,146
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,COOSA,37, (D)
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,106
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,125
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LAMAR,75,48
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LEE,81,20
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,26
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,81
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,SHELBY,117,201
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,682
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLAPOOSA,123, (D)
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,351
2017,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,WALKER,127,122
2017,COUNTY,ALABAMA,1,WIREGRASS,60,BARBOUR,5,90
2017,COUNTY,ALABAMA,1,WIREGRASS,60,COFFEE,31,32
2017,COUNTY,ALABAMA,1,WIREGRASS,60,COVINGTON,39,221
2017,COUNTY,ALABAMA,1,WIREGRASS,60,CRENSHAW,41,72
2017,COUNTY,ALABAMA,1,WIREGRASS,60,DALE,45,73
2017,COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61,157
2017,COUNTY,ALABAMA,1,WIREGRASS,60,HENRY,67,49
2017,COUNTY,ALABAMA,1,WIREGRASS,60,HOUSTON,69,65
2017,COUNTY,ALABAMA,1,WIREGRASS,60,PIKE,109,353
2017,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,13
2017,COUNTY,ALASKA,2,KENAI PENINSULA,30,KENAI PENINSULA,,270
